,CodigoPedido,SKU,NomeProduto,Marca,valorTotal,Mes,Ano
2856,61689432,STH6896,Stella - Fonte Para Led 60W 24V Sth6896 Preço por Unidade,Stella,195.01,7,2021
2857,60969490,STH20810/30,"Stella - Fita Led Evo 11,5W/M 850Lm/M 12V Irc 97 Ip20 Sth20810/30 Preço por Unidade",Stella,702.18,7,2021
2858,60969490,STH9893,Stella - Fonte Eco Para Led 60W 12V Sth9893 Preço por Unidade,Stella,182.18,7,2021
2859,60641403,STH5725/30,Stella - Poste Balizador Recognizer 7W 520Lm Sth5725/30 Preço por Unidade,Stella,390.29,7,2021
2860,60641403,STH6730/30,Stella - Arandela Led Effekt 2X4W 480Lm Branca Sth6730/30 Preço por Unidade,Stella,247.09,7,2021
2861,58960641,STH6731/30,Stella - Arandela Led Effekt 2X4W 480Lm Preta Sth6731/30 Preço por Unidade,Stella,6918.52,6,2021
2862,60969490,STH6731/30,Stella - Arandela Led Effekt 2X4W 480Lm Preta Sth6731/30 Preço por Unidade,Stella,1482.54,7,2021
2863,64852132,STH6731/30,Stella - Arandela Led Effekt 2X4W 480Lm Preta Sth6731/30 Preço por Unidade,Stella,494.18,8,2021
2864,60641403,STH7700/30,Stella - Arandela Led Licht 5W 450Lm Sth7700/30 Preço por Unidade,Stella,195.59,7,2021
2865,61689432,SD2360,Stella - Arandela Grezzo Ip44 Preta Sd2360 Preço por Unidade,Stella,963.56,7,2021
2866,60969490,STH7099,Stella - Cabo Porta-Lâmpadas Hang Sth7099 Preço por Unidade,Stella,208.19,7,2021
2867,58960641,STH8751/30,Stella - Balizador De Sobrepor Neu 2 Preto 2W 50Lm Sth8751/30 Preço por Unidade,Stella,558.95,6,2021
2868,60641403,STH9726/30,Stella - Arandela/Balizador Recognizer Preto 7W 460Lm Sth9726/30 Preço por Unidade,Stella,312.19,7,2021
2869,60641403,STH9730BR/30,Stella - Arandela Wall Mini 5W 150Lm 70°/70° Sth9730Br/30 Preço por Unidade,Stella,171.89,7,2021
2870,60641403,STH9732BR/30,Stella - Arandela Wall Mini 5W 20Lm 4°/4° Sth9732Br/30 Preço por Unidade,Stella,171.89,7,2021
2871,60641403,STH9740BR/30,Stella - Arandela Led Reflex 42Cm 12W 700Lm Branca Sth9740Br/30 Preço por Unidade,Stella,395.39,7,2021
2872,61417496,STH6445/27,Stella - Lamp Led Ar111 Evo Bdt 12W 12° 720Lm Sth6445/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,1445.2,7,2021
2873,61689432,STH6445/27,Stella - Lamp Led Ar111 Evo Bdt 12W 12° 720Lm Sth6445/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,1445.2,7,2021
2874,60455710,STH20250/27,"Stella - Lamp Led Bulbo E27 Dim. 9,8W 220° 810Lm Sth20250/27 (Caixa com 10 Unidades) Preço por Unidade",Stella,1098.0,7,2021
2875,61417496,STH20535/40,Stella - Lamp Led Gu10 Evo 6W 36° 500Lm Irc95 Sth20535/40 (Caixa com 10 Unidades) Preço por Unidade,Stella,135.2,7,2021
2876,61689432,STH20535/40,Stella - Lamp Led Gu10 Evo 6W 36° 500Lm Irc95 Sth20535/40 (Caixa com 10 Unidades) Preço por Unidade,Stella,135.2,7,2021
2877,61417496,STH7535/27,Stella - Lamp Led Gu10 Dicroica Evo 7W 36° 450Lm Sth7535/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,195.76,7,2021
2878,61689432,STH7535/27,Stella - Lamp Led Gu10 Dicroica Evo 7W 36° 450Lm Sth7535/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,195.76,7,2021
2879,61417496,STH8060/27,Stella - Lamp Led Par20 Eco Bdt 6W 35° 450Lm 2700K Sth8060/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,501.75,7,2021
2880,61689432,STH8060/27,Stella - Lamp Led Par20 Eco Bdt 6W 35° 450Lm 2700K Sth8060/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,501.75,7,2021
2881,61417496,STH8141/27,Stella - Lamp Led G9 4W 325Lm 127V Sth8141/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,40.57,7,2021
2882,61689432,STH8141/27,Stella - Lamp Led G9 4W 325Lm 127V Sth8141/27 (Caixa com 10 Unidades) Preço por Unidade,Stella,40.57,7,2021
2883,61417496,STH8141/30,Stella - Lamp Led G9 4W 325Lm 127V Sth8141/30 (Caixa com 10 Unidades) Preço por Unidade,Stella,243.42,7,2021
